terrain,n_trials,cadence_steps_min_mean,stride_mean_s_mean,stride_cv_mean,stance_mean_pct_mean,swing_mean_pct_mean,cadence_steps_min_std,stride_mean_s_std,stride_cv_std,stance_mean_pct_std,swing_mean_pct_std
CS,9,80.627,1.53,0.086,59.604,40.396,13.631,0.279,0.04,5.855,5.855
STEP_MULTI,29,87.253,1.407,0.14,55.858,44.142,14.516,0.199,0.055,7.949,7.949
flat,69,95.06,1.277,0.051,54.724,45.276,12.115,0.124,0.036,4.329,4.329
grass,39,105.284,1.237,0.083,52.134,47.866,38.615,0.287,0.051,12.917,12.917
gravel,39,87.506,1.429,0.088,55.469,44.531,21.429,0.248,0.062,12.321,12.321
slope,110,92.81,1.311,0.061,53.972,46.028,11.915,0.153,0.06,6.834,6.834
stair,119,82.758,1.514,0.145,59.483,40.517,18.406,0.345,0.08,6.793,6.793
uneven,92,93.16,1.299,0.071,54.575,45.425,8.833,0.112,0.041,8.473,8.473
